global_sales,count
0.01,120
0.02,328
0.03,180
0.04,180
0.05,188
0.06,176
0.07,124
0.08,156
0.09,112
0.1,108
0.11,148
0.12,92
0.13,96
0.14,88
0.15,80
0.16,64
0.17,68
0.18,72
0.19,80
0.2,48
0.21,64
0.22,32
0.23,48
0.24,52
0.25,44
0.26,48
0.27,28
0.28,52
0.29,48
0.3,20
0.31,16
0.32,40
0.33,28
0.34,36
0.35,40
0.36,16
0.37,40
0.38,20
0.39,20
0.4,16
0.41,52
0.42,36
0.43,20
0.44,40
0.45,40
0.46,32
0.47,32
0.48,16
0.49,32
0.5,28
0.51,12
0.52,20
0.53,36
0.54,20
0.55,20
0.56,24
0.57,36
0.58,20
0.59,8
0.6,16
0.61,36
0.62,12
0.63,20
0.64,32
0.65,8
0.66,16
0.67,20
0.68,8
0.69,12
0.7,16
0.71,12
0.72,20
0.73,8
0.74,12
0.75,16
0.76,32
0.77,20
0.78,16
0.79,4
0.8,8
0.81,4
0.82,12
0.83,12
0.84,4
0.85,8
0.87,28
0.88,16
0.89,16
0.9,16
0.91,4
0.93,12
0.94,12
0.95,12
0.96,16
0.97,4
0.98,4
0.99,4
1.0,8
1.02,8
1.03,8
1.04,4
1.05,12
1.06,16
1.07,4
1.08,12
1.09,8
1.1,8
1.11,4
1.12,16
1.13,8
1.14,8
1.15,16
1.16,12
1.17,12
1.19,4
1.2,8
1.21,16
1.22,4
1.24,4
1.25,12
1.27,8
1.29,8
1.31,12
1.33,4
1.34,24
1.35,8
1.36,20
1.37,12
1.38,4
1.42,8
1.44,4
1.45,8
1.46,4
1.47,4
1.48,8
1.49,8
1.5,8
1.51,8
1.52,4
1.53,8
1.54,12
1.55,8
1.57,8
1.6,8
1.62,8
1.63,8
1.64,8
1.65,4
1.67,8
1.68,4
1.69,12
1.7,4
1.71,4
1.72,8
1.74,4
1.75,8
1.76,4
1.79,4
1.82,4
1.85,4
1.88,4
1.92,8
1.93,8
1.94,8
1.95,12
2.02,4
2.03,4
2.04,4
2.07,4
2.08,4
2.09,4
2.1,4
2.13,8
2.14,4
2.15,4
2.16,4
2.2,4
2.21,4
2.23,4
2.24,4
2.25,4
2.31,4
2.37,4
2.4,4
2.42,8
2.46,4
2.53,4
2.61,4
2.65,4
2.67,8
2.69,4
2.7,4
2.76,4
2.77,4
2.78,4
2.81,4
2.82,4
2.83,4
2.88,4
2.89,4
2.92,4
2.94,4
2.95,8
2.99,4
3.0,4
3.01,4
3.05,4
3.1,4
3.21,4
3.23,4
3.28,4
3.31,4
3.33,4
3.35,4
3.37,4
3.44,4
3.47,4
3.48,4
3.49,4
3.51,4
3.53,4
3.59,8
3.61,8
3.65,4
3.66,4
3.8,4
3.83,4
3.97,4
4.03,4
4.04,4
4.08,4
4.12,4
4.29,4
4.31,4
4.34,4
4.36,4
4.43,4
4.46,4
4.48,4
4.98,4
5.13,4
5.27,4
5.38,4
5.39,4
5.64,4
6.09,4
6.21,4
6.34,4
6.43,4
6.68,4
6.75,4
6.83,4
7.17,4
7.32,4
7.38,4
7.39,4
7.66,4
7.98,4
8.09,4
8.49,4
9.31,4
9.36,4
9.71,4
9.86,4
10.25,4
10.6,4
12.12,4
12.63,4
13.32,4
13.47,4
13.67,4
13.79,4
14.61,4
14.63,4
14.73,4
28.31,4
