sales_genre.genre,sales_genre.global_sales,sales_genre.critic_score
Sports,82.53,76
Racing,35.52,82
Sports,32.77,80
Platform,29.8,89
Misc,28.92,58
Platform,28.32,87
Racing,23.21,91
Sports,22.7,80
Misc,21.81,61
Sports,21.79,80
Action,21.04,97
Action,20.81,95
Misc,20.15,77
Action,16.27,97
Action,16.15,95
Puzzle,15.29,77
Racing,14.98,95
Shooter,14.73,88
Shooter,14.61,87
Shooter,13.79,83
Shooter,13.67,83
Shooter,13.47,94
Shooter,13.32,88
Action,13.1,97
Fighting,12.84,93
Racing,12.66,85
Shooter,12.63,88
Action,12.61,97
Simulation,12.13,86
Shooter,12.12,94
Racing,11.66,89
Platform,11.35,97
Action,11.01,98
Racing,10.95,96
Platform,10.81,90
Racing,10.7,84
Shooter,10.6,94
Action,10.5,98
Shooter,10.25,73
Misc,10.12,74
Platform,9.9,78
Shooter,9.86,91
Role-Playing,9.72,92
Shooter,9.71,87
Racing,9.49,93
Misc,9.44,74
Shooter,9.36,71
Shooter,9.31,94
Simulation,9.16,88
Misc,8.91,72
Role-Playing,8.79,96
Sports,8.57,82
Shooter,8.49,95
Misc,8.38,68
Misc,8.27,62
Action,8.16,88
Role-Playing,8.05,92
Simulation,8.01,86
Role-Playing,7.86,90
Role-Playing,7.72,83
Action,7.69,88
Shooter,7.66,83
Sports,7.59,85
Platform,7.51,97
Shooter,7.38,84
Shooter,7.32,84
Racing,7.2,85
Misc,7.2,49
Shooter,7.17,85
Role-Playing,7.16,87
Fighting,7.16,96
Action,7.15,95
Platform,7.13,91
Racing,7.09,88
Fighting,7.07,92
Racing,6.9,82
Shooter,6.83,88
Misc,6.76,74
Shooter,6.75,93
Action,6.74,92
Shooter,6.68,94
Action,6.66,96
Misc,6.62,74
Action,6.49,95
Sports,6.47,86
Action,6.45,85
Platform,6.44,87
Shooter,6.43,97
Role-Playing,6.41,92
Role-Playing,6.41,76
Role-Playing,6.4,85
Shooter,6.34,83
Action,6.32,95
Platform,6.31,92
Role-Playing,6.29,93
Action,6.27,87
Shooter,6.21,91
Sports,6.19,73
Shooter,6.09,94
Sports,6.08,82
Action,6.05,96
Action,6.03,94
Action,5.99,94
Role-Playing,5.95,92
Action,5.87,95
Platform,5.82,95
Action,5.82,89
Role-Playing,5.78,87
Fighting,5.74,89
Shooter,5.64,76
Action,5.64,80
Simulation,5.63,67
Action,5.55,91
Adventure,5.54,81
Racing,5.49,92
Platform,5.49,84
Role-Playing,5.48,81
Action,5.48,96
Action,5.48,97
Racing,5.47,93
Platform,5.42,66
Shooter,5.39,85
Shooter,5.38,93
Role-Playing,5.33,83
Role-Playing,5.3,94
Action,5.29,84
Role-Playing,5.29,85
Shooter,5.27,81
Action,5.26,90
Action,5.24,85
Sports,5.23,94
Platform,5.22,84
Role-Playing,5.21,89
Puzzle,5.19,85
Action,5.16,90
Role-Playing,5.14,88
Shooter,5.13,68
Misc,5.12,92
Role-Playing,5.1,80
Action,5.09,84
Action,5.08,90
Sports,5.07,89
Action,5.05,91
Action,5.03,86
Sports,5.02,92
Misc,4.98,82
Shooter,4.98,68
Role-Playing,4.93,93
Action,4.92,88
Sports,4.91,88
Strategy,4.84,93
Adventure,4.82,81
Action,4.8,92
Racing,4.79,88
Action,4.76,80
Action,4.73,62
Action,4.73,94
Sports,4.68,98
Action,4.67,82
Action,4.63,91
Simulation,4.62,73
Action,4.62,86
Action,4.6,96
Misc,4.6,86
Action,4.59,86
Racing,4.57,91
Sports,4.53,91
Misc,4.53,85
Sports,4.49,84
Shooter,4.48,84
Action,4.48,76
Shooter,4.46,77
Action,4.45,94
Shooter,4.43,81
Misc,4.42,77
Sports,4.41,97
Sports,4.39,86
Role-Playing,4.38,94
Racing,4.37,82
Misc,4.36,56
Shooter,4.34,86
Role-Playing,4.33,87
Platform,4.32,93
Role-Playing,4.27,89
Misc,4.24,79
Action,4.23,91
Action,4.23,91
Action,4.22,80
Role-Playing,4.22,88
Sports,4.22,84
Platform,4.21,85
Sports,4.21,80
Misc,4.2,80
Racing,4.19,80
Action,4.19,80
Fighting,4.16,94
Sports,4.14,95
Shooter,4.12,96
Role-Playing,4.09,91
Shooter,4.08,88
Action,4.07,93
Role-Playing,4.05,84
Racing,4.05,90
Misc,4.05,56
Action,4.05,80
Fighting,4.05,85
Shooter,4.04,85
Misc,3.98,61
Shooter,3.97,89
Role-Playing,3.97,92
Action,3.96,70
Action,3.95,87
Action,3.95,93
Role-Playing,3.94,90
Puzzle,3.94,84
Sports,3.9,81
Sports,3.9,90
Role-Playing,3.89,86
Role-Playing,3.88,94
Sports,3.88,87
Fighting,3.87,88
Racing,3.87,84
Sports,3.85,91
Sports,3.84,76
Shooter,3.83,78
Misc,3.83,59
Shooter,3.8,80
Misc,3.79,68
Action,3.76,77
Simulation,3.76,79
Action,3.73,64
Platform,3.71,85
Platform,3.71,91
Action,3.71,88
Sports,3.7,81
Sports,3.67,94
Simulation,3.66,67
Racing,3.65,74
Shooter,3.65,82
Platform,3.64,90
Sports,3.63,82
Action,3.62,96
Misc,3.62,86
Sports,3.62,91
Shooter,3.61,82
Racing,3.61,64
Action,3.6,78
Shooter,3.59,85
Shooter,3.59,84
Simulation,3.58,70
Action,3.54,78
Action,3.54,72
Shooter,3.53,72
Sports,3.52,88
Shooter,3.51,89
Action,3.5,72
Action,3.5,83
Action,3.49,89
Sports,3.49,84
Shooter,3.49,80
Action,3.48,92
Shooter,3.48,79
Shooter,3.47,88
Misc,3.46,71
Misc,3.45,83
Shooter,3.44,84
Fighting,3.44,79
Action,3.42,70
Action,3.41,93
Action,3.41,80
Sports,3.4,88
Platform,3.39,91
Misc,3.39,68
Action,3.39,76
Action,3.38,76
Shooter,3.37,75
Shooter,3.35,90
Shooter,3.33,77
Action,3.32,60
Action,3.31,87
Shooter,3.31,80
Action,3.3,86
Action,3.28,85
Shooter,3.28,82
Action,3.27,77
Puzzle,3.26,86
Sports,3.25,84
Misc,3.25,63
Sports,3.24,83
Racing,3.23,81
Shooter,3.23,85
Platform,3.21,88
Action,3.18,91
Action,3.18,62
Role-Playing,3.18,83
Misc,3.17,82
Adventure,3.17,89
Simulation,3.17,89
Simulation,3.15,87
Sports,3.14,83
Action,3.13,87
Misc,3.13,73
Racing,3.12,88
Platform,3.12,82
Misc,3.11,83
Role-Playing,3.11,82
Misc,3.11,81
Role-Playing,3.1,93
Action,3.1,91
Shooter,3.1,74
Role-Playing,3.1,96
Fighting,3.09,67
Sports,3.08,94
Simulation,3.07,75
Action,3.06,74
Simulation,3.05,66
Simulation,3.05,70
Shooter,3.05,89
Action,3.05,72
Action,3.04,75
Role-Playing,3.04,93
Adventure,3.03,87
Action,3.03,81
Action,3.02,93
Sports,3.01,87
Shooter,3.01,91
Shooter,3.0,91
Platform,3.0,73
Sports,3.0,88
Fighting,3.0,73
Misc,2.99,82
Sports,2.99,93
Action,2.99,94
Role-Playing,2.96,85
Action,2.96,84
Platform,2.96,64
Action,2.96,85
Shooter,2.95,86
Shooter,2.95,88
Shooter,2.94,87
Puzzle,2.94,79
Fighting,2.94,93
Action,2.93,85
Platform,2.92,76
Shooter,2.92,78
Role-Playing,2.91,91
Misc,2.9,73
Sports,2.9,93
Sports,2.89,67
Sports,2.89,85
Simulation,2.89,61
Shooter,2.89,76
Puzzle,2.89,83
Sports,2.86,81
Role-Playing,2.86,87
Action,2.85,83
Fighting,2.84,84
Sports,2.83,85
Shooter,2.83,96
Shooter,2.82,97
Action,2.82,90
Shooter,2.81,75
Action,2.79,80
Sports,2.79,89
Platform,2.78,87
Racing,2.78,89
Action,2.78,81
Shooter,2.78,89
Fighting,2.78,83
Simulation,2.77,83
Shooter,2.77,84
Action,2.77,73
Platform,2.76,81
Action,2.76,84
Fighting,2.75,79
Platform,2.73,69
Action,2.7,95
Action,2.7,86
Adventure,2.7,89
Shooter,2.7,82
Sports,2.69,78
Action,2.69,84
Shooter,2.69,73
Sports,2.69,84
Racing,2.68,93
Puzzle,2.67,79
Puzzle,2.67,83
Shooter,2.67,77
Shooter,2.67,92
